경매번호,주소지,x,y,종류,면적,감정가,입찰가,입찰일,링크,크기,건물 면적,토지 면적,대지권 면적
2021 타경 72029(2),경북 상주시 복룡동 486 새빛힐즈2차 5층 501호,128.16319565767,36.419734137584,아파트,건물 78.82㎡(23.84평) / 대지권 42.16㎡(12.75평),"212,000,000","12,221,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=704_20210072029_002"">link</a>",10,23.84,0.0,12.75
2021 타경 74114,경기 수원시 권선구 세류동 484-13 비동 지하 1층 비01호,127.01177483942,37.261352720193,다세대/빌라,건물 53.73㎡(16.25평) / 대지권 26.76㎡(8.09평),"93,000,000","65,100,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=301_20210074114_001"">link</a>",10,16.25,0.0,8.09
2021 타경 80250,경기 남양주시 별내동 899 모아미래도아파트 2306동 5층 503호,127.12728411809,37.662307208889,아파트,건물 84.98㎡(25.71평) / 대지권 53.1㎡(16.06평),"772,000,000","772,000,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=106_20210080250_001"">link</a>",10,25.71,0.0,16.06
2021 타경 90066,경기 가평군 조종면 신하리 366-5,127.36173809909,37.83627044313,답,토지 2713㎡(820.68평),"393,385,000","275,370,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=106_20210090066_001"">link</a>",10,0.0,820.68,0.0
2021 타경 90448(1),경기 연천군 전곡읍 전곡리 423-24 101동 2층 203호,127.07311133001,38.033112551014,다세대/빌라,건물 42.9㎡(12.98평) / 대지권 47.2㎡(14.28평),"155,000,000","53,165,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=106_20210090448_001"">link</a>",10,12.98,0.0,14.28
2021 타경 90448(2),경기 연천군 전곡읍 전곡리 423-33 104동 2층 201호,127.07360850196,38.033319723652,다세대/빌라,건물 51.62㎡(15.62평) / 대지권 54.6㎡(16.52평),"186,000,000","63,798,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=106_20210090448_002"">link</a>",10,15.62,0.0,16.52
2021 타경 90448(4),경기 연천군 전곡읍 전곡리 423-33 105동 2층 201호,127.07360850196,38.033319723652,다세대/빌라,건물 51.62㎡(15.62평) / 대지권 54.6㎡(16.52평),"186,000,000","63,798,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=106_20210090448_004"">link</a>",10,15.62,0.0,16.52
2021 타경 101216,서울 중구 을지로6가 18-185 밀리오레 9층 155호 외 2개 목록,127.00831039162,37.568322304142,근린상가,건물 7.26㎡(2.2평),"45,000,000","9,438,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=101_20210101216_001"">link</a>",10,2.2,0.0,0.0
2021 타경 101681,서울 동작구 상도동 210-172 상도젠트리하임 2층 201호,126.94226615087,37.497818400301,다세대/빌라,건물 30.69㎡(9.28평) / 대지권 18.3㎡(5.54평),"252,000,000","27,058,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=101_20210101681_001"">link</a>",10,9.28,0.0,5.54
2021 타경 104321(1),서울 종로구 인의동 48-2 효성주얼리시티 지하 2층 에스에프지2005호,126.99866664524,37.571482920688,근린상가,건물 29.54㎡(8.94평) / 대지권 7.9㎡(2.39평),"254,000,000","83,230,000",2023-05-16,"<a href=""https://www.dooinauction.com/auction/search/?auction_id=101_20210104321_001"">link</a>",10,8.94,0.0,2.39
